Zone17,HH
1066,506
1067,531
1068,796
1069,693
1070,1209
1071,378
1072,891
1073,1622
1074,1202
1075,1758
1076,1213
1077,669
1078,933
1079,2034
1080,1694
1081,2074
1082,1857
1083,916
1084,643
1085,859
1086,897
1087,989
1088,1494
1089,713
1090,512
1091,1330
1092,996
1093,73
1094,995
1095,1092
1096,1283
1097,943
1098,1375
1099,1371
1100,483
1101,262
1102,508
1103,484
1104,1305
1105,617
1106,414
1107,1797
1108,1127
1109,639
1110,964
1111,565
1112,631
1113,2445
1114,680
1115,1028
1116,927
1117,1629
1118,197
1119,676
1120,0
1121,994
1122,639
1123,606
1124,1452
1125,187
1126,1575
1127,1023
1128,1302
1129,712
1130,488
1131,121
1132,1796
1133,756
1134,640
1135,232
1136,768
1137,767
1138,1228
1139,561
1140,1140
1141,329
1142,1202
1143,514
1144,164
1145,682
1146,593
1147,2213
1148,13
1149,1332
1150,114
1151,1400
1152,115
1153,714
1154,586
1155,777
1156,911
1157,1098
1158,498
1159,764
1160,464
1161,599
1162,819
1163,504
1164,465
1165,506
1166,59
1167,480
1168,271
1169,484
1170,648
1171,375
1172,1559
1173,2005
1174,4354
1175,787
1176,4196
1177,1568
1178,3276
1179,426
1180,1553
1181,2355
1182,2179
1183,1258
1184,634
1185,523
1186,843
1187,576
1188,1467
1189,895
1190,228
1191,0
1192,0
1193,1173
1194,955
1195,602
1196,806
1197,1205
1198,527
1199,467
1200,750
1201,515
1202,866
1203,1241
1204,453
1205,818
1206,1182
1207,450
1208,768
1209,43
1210,229
1211,926
1212,1141
1213,1310
1214,2248
1215,1229
1216,1890
1217,577
1218,1842
1219,0
1220,683
1221,467
1222,0
1223,1066
1224,230
1225,2360
1226,927
1227,497
1228,1173
1229,419
1230,941
1231,328
1232,578
1233,0
1234,342
1235,1036
1236,197
1237,183
1238,1297
1239,1035
1240,1489
1241,649
1242,786
1243,42
1244,528
1245,406
1246,364
1247,522
1248,506
1249,556
1250,2217
1251,3216
1252,1098
1253,734
1254,113
1255,511
1256,1457
1257,964
1258,1151
1259,1175
1260,367
1261,1123
1262,88
1263,1509
1264,729
1265,3607
1266,666
1267,633
1268,727
1269,643
1270,462
1271,672
1272,333
1273,1298
1274,4189
1275,0
1276,1490
1277,2091
1278,309
1279,1793
1280,1470
1281,939
1282,1531
1283,138
1284,2549
1285,944
1286,1242
1287,270
1288,347
1289,601
1290,13
1291,440
1292,879
1293,24
1294,686
1295,629
1296,2859
1297,1586
1298,2347
1299,1264
1300,543
1301,705
1302,0
1303,1003
1304,101
1305,688
1306,712
1307,682
1308,502
1309,1282
1310,4132
1311,1390
1312,2846
1313,556
1314,1103
1315,868
1316,870
1317,4628
1318,1470
1319,4002
1320,1101
1321,2090
1322,2241
1323,1365
1324,1704
1325,1581
1326,1306
1327,1395
1328,1396
1329,2934
1330,3305
1331,2061
1332,2546
1333,8645
1334,1363
1335,2226
1336,216
1337,3872
1338,1324
1339,831
1340,1762
1341,1405
1342,2412
1343,2187
1344,1444
1345,465
1346,3017
1347,3058
1348,1753
1349,470
1350,1656
1351,2426
1352,1547
1353,2183
1354,833
1355,1496
1356,1302
1357,1232
1358,1732
1359,1075
1360,651
1361,1033
1362,1907
1363,2355
1364,1233
1365,620
1366,611
1367,1319
1368,4523
1369,622
1370,856
1371,639
1372,425
1373,1969
1374,1478
1375,1063
1376,569
1377,717
1378,628
1379,581
1380,0
1381,490
1382,1284
1383,1509
1384,1160
1385,1676
1386,163
1387,0
1388,0
1389,1753
1390,943
1391,1811
1392,688
1393,1082
1394,1024
1395,160
1396,68
1397,384
1398,341
1399,0
1400,1812
1401,831
1402,645
1403,45
1404,1775
1405,631
1406,2108
1407,627
1408,557
1409,1019
1410,1122
1411,3735
1412,632
1413,662
1414,454
1415,641
1416,3687
1417,0
1418,0
1419,0
1420,709
1421,926
1422,0
1423,0
1424,0
1425,0
1426,354
1427,0
1428,644
1429,480
1430,1000
1431,0
1432,563
1433,0
1434,638
1435,0
1436,0
1437,746
1438,2784
1439,2739
1440,2753
1441,1356
1442,1054
1443,581
1444,3856
1445,3267
1446,821
1447,492
1448,1895
1449,2370
1450,750
1451,902
1452,950
1453,509
1454,106
1455,332
1456,1257
1457,421
1458,634
1459,35
1460,701
1461,1823
1462,1531
1463,2058
1464,1125
1465,1276
1466,2208
1467,606
1468,907
1469,725
1470,1351
1471,2408
1472,2874
1473,3200
1474,623
1475,899
1476,1241
1477,921
1478,213
1479,1159
1480,1021
1481,0
1482,1049
1483,1263
1484,488
1485,311
1486,3480
1487,679
1488,260
